GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week
2023111909,2023-11-19,2,13,37,BUF,NYJ,1,10,77,0,0,(13:37) 76-D.EDWARDS REPORTED IN AS ELIGIBLE.  11-D.HARTY LEFT END TO NYJ 25 FOR -2 YARDS (4-D.REED).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,23,OPP,0,,0,,0,11
2023111909,2023-11-19,2,12,52,BUF,NYJ,2,12,75,0,0,(12:52) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 86-D.KINCAID TO NYJ 26 FOR -1 YARDS (4-D.REED).,0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,11
2023111909,2023-11-19,2,12,10,BUF,NYJ,3,13,74,0,0,"(12:10) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 85-Q.MORRIS TO NYJ 15 FOR 11 YARDS (0-A.AMOS, 57-C.MOSLEY).",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,11
2023111909,2023-11-19,2,11,29,BUF,NYJ,4,2,85,0,0,"(11:29) 2-T.BASS 33 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,11
2023112609,2023-11-26,2,1,51,BUF,PHI,1,10,60,0,0,"(1:51) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 86-D.KINCAID PUSHED OB AT PHI 32 FOR 8 YARDS (31-K.BYARD).",0,2023,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,12
2023121009,2023-12-10,1,0,14,BUF,KC,1,10,100,0,0,(:14) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14
2023121706,2023-12-17,1,10,24,BUF,DAL,2,3,85,1,0,(10:24) (SHOTGUN) 4-J.COOK UP THE MIDDLE TO DAL 12 FOR 3 YARDS (33-D.CLARK; 6-D.WILSON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,15,OPP,0,,0,,0,15
2023121706,2023-12-17,1,9,44,BUF,DAL,1,10,88,0,0,"(9:44) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT. THROWN AWAY, PRESSURE BY M.PARSONS.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,15
2023121706,2023-12-17,2,7,13,BUF,DAL,0,0,100,1,0,TIMEOUT AT 07:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15
2023121706,2023-12-17,2,7,13,BUF,DAL,0,0,65,1,0,17-B.AUBREY KICKS 62 YARDS FROM DAL 35 TO BUF 3. 26-T.JOHNSON TO BUF 24 FOR 21 YARDS (91-T.WHEAT; 25-N.WRIGHT).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,15
2023121706,2023-12-17,2,4,18,BUF,DAL,1,10,53,0,0,(4:18) (SHOTGUN) 4-J.COOK RIGHT GUARD TO DAL 43 FOR 4 YARDS (92-D.ARMSTRONG).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,47,OPP,0,,0,,0,15
2023121706,2023-12-17,3,4,6,BUF,DAL,1,10,90,0,0,(4:06) 4-J.COOK LEFT TACKLE TO DAL 8 FOR 2 YARDS (14-M.BELL).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,10,OPP,0,,0,,0,15
2023122301,2023-12-23,4,5,26,BUF,LAC,0,0,65,1,0,"11-C.DICKER KICKS 65 YARDS FROM LAC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16
2023122301,2023-12-23,4,2,56,BUF,LAC,3,8,55,1,0,(2:56) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS PUSHED OB AT LAC 34 FOR 11 YARDS (27-E.BASSEY).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,16
2023122301,2023-12-23,4,2,51,BUF,LAC,1,10,66,0,0,(2:51) (SHOTGUN) 4-J.COOK LEFT END PUSHED OB AT LAC 30 FOR 4 YARDS (37-J.HAWKINS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OPP,0,,0,,0,16
2023122301,2023-12-23,4,2,45,BUF,LAC,2,6,70,0,0,(2:45) 4-J.COOK LEFT TACKLE TO LAC 28 FOR 2 YARDS (6-E.KENDRICKS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,30,OPP,0,,0,,0,16
2023122301,2023-12-23,4,2,34,BUF,LAC,3,4,72,1,0,"(2:34) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 10-K.SHAKIR FOR 28 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE RUNNER WAS NOT DOWN BY CONTACT RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 10-K.SHAKIR TO LAC 13 FOR 15 YARDS (37-J.HAWKINS).",0,2023,28,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,16
2023123102,2023-12-31,4,4,18,BUF,NE,2,8,53,0,0,"(4:18) 76-D.EDWARDS REPORTED IN AS ELIGIBLE.  4-J.COOK RIGHT GUARD TO NE 46 FOR 1 YARD (33-A.JENNINGS, 90-C.BARMORE).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,47,OPP,0,,0,,0,17
2023123102,2023-12-31,4,3,35,BUF,NE,3,7,54,1,0,"(3:35) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 10-K.SHAKIR TO NE 35 FOR 11 YARDS (8-J.BENTLEY, 2-J.MILLS).",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,17
2023123102,2023-12-31,4,2,51,BUF,NE,1,10,65,0,0,"(2:51) (SHOTGUN) 4-J.COOK RIGHT TACKLE TO NE 35 FOR NO GAIN (93-L.GUY, 99-K.WHITE).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,35,OPP,0,,0,,0,17
2023123102,2023-12-31,1,5,11,BUF,NE,2,5,75,1,0,(5:11) (SHOTGUN) 17-J.ALLEN SCRAMBLES LEFT TACKLE RAN OB AT NE 18 FOR 7 YARDS (8-J.BENTLEY).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,17
2023123102,2023-12-31,1,4,32,BUF,NE,1,10,82,0,0,(4:32) (SHOTGUN) 17-J.ALLEN RIGHT GUARD TO NE 19 FOR -1 YARDS. LATERAL TO 10-K.SHAKIR TO NE 8 FOR 11 YARDS (27-M.BRYANT).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,18,OPP,0,,0,,0,17
2023123102,2023-12-31,1,3,45,BUF,NE,1,8,92,0,0,(3:45) (SHOTGUN) 17-J.ALLEN RIGHT TACKLE TO NE 7 FOR 1 YARD (33-A.JENNINGS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,8,OPP,0,,0,,0,17
2023123102,2023-12-31,1,3,9,BUF,NE,2,7,93,0,0,"(3:09) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 10-K.SHAKIR TO NE 6 FOR 1 YARD (28-A.AUSTIN, 2-J.MILLS).",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,17
2023123102,2023-12-31,1,2,23,BUF,NE,3,6,94,0,0,(2:23) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 86-D.KINCAID.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,17
2024010713,2024-01-07,4,5,28,BUF,MIA,0,0,100,1,0,TIMEOUT #1 BY BUF AT 05:28.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,4,2,59,BUF,MIA,2,11,53,0,0,(2:59) (SHOTGUN) 17-J.ALLEN LEFT END TO MIA 46 FOR 1 YARD (51-D.LONG).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,47,OPP,0,,0,,0,18
2024010713,2024-01-07,4,2,59,BUF,MIA,0,0,100,1,0,TIMEOUT #3 BY MIA AT 02:59.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,4,3,4,BUF,MIA,1,10,54,0,0,(3:04) 76-D.EDWARDS REPORTED IN AS ELIGIBLE.  5-L.FOURNETTE LEFT GUARD TO MIA 47 FOR -1 YARDS (91-E.OGBAH).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,46,OPP,0,,0,,0,18
2024010713,2024-01-07,4,3,12,BUF,MIA,0,0,100,1,0,TIMEOUT #2 BY MIA AT 03:12.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,4,3,18,BUF,MIA,0,0,100,1,0,TIMEOUT #1 BY MIA AT 03:18.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,4,7,16,BUF,MIA,0,0,85,1,0,"2-T.BASS EXTRA POINT IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,18
2024010713,2024-01-07,4,7,21,BUF,MIA,2,5,95,1,0,"(7:21) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 88-D.KNOX FOR 5 YARDS, TOUCHDOWN.",0,2023,5,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,18
2024010713,2024-01-07,4,7,59,BUF,MIA,1,3,97,0,0,(7:59) (NO HUDDLE) 4-J.COOK LEFT END TO MIA 5 FOR -2 YARDS (29-B.JONES).,0,2023,-2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,3,OPP,0,,0,,0,18
2024010713,2024-01-07,4,8,39,BUF,MIA,2,6,69,1,0,(8:39) (SHOTGUN) 17-J.ALLEN PASS DEEP RIGHT TO 10-K.SHAKIR RAN OB AT MIA 3 FOR 28 YARDS (4-K.KOHOU).,0,2023,28,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,18
2024010713,2024-01-07,4,9,20,BUF,MIA,1,10,65,0,0,(9:20) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 4-J.COOK TO MIA 31 FOR 4 YARDS (55-J.BAKER).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18
2024010713,2024-01-07,3,0,17,BUF,MIA,3,13,79,0,0,"(:17) (SHOTGUN) 17-J.ALLEN SACKED AT MIA 28 FOR -7 YARDS (94-C.WILKINS). FUMBLES (94-C.WILKINS) [94-C.WILKINS], RECOVERED BY MIA-94-C.WILKINS AT MIA 27.",0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,21,OPP,0,,0,,0,18
2024010713,2024-01-07,3,0,22,BUF,MIA,2,13,79,0,0,(:22) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE DEEP LEFT TO 16-T.SHERFIELD.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,18
2024010713,2024-01-07,3,1,4,BUF,MIA,1,10,82,0,0,(1:04) 4-J.COOK LEFT END TO MIA 21 FOR -3 YARDS (29-B.JONES).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,18,OPP,0,,0,,0,18
2024010713,2024-01-07,3,1,45,BUF,MIA,2,7,69,1,0,(1:45) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 10-K.SHAKIR TO MIA 18 FOR 13 YARDS (29-B.JONES).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,18
2024010713,2024-01-07,3,2,27,BUF,MIA,1,10,66,0,0,(2:27) (SHOTGUN) 5-L.FOURNETTE RIGHT GUARD TO MIA 31 FOR 3 YARDS (92-Z.SIELER; 53-C.GOODE).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,34,OPP,0,,0,,0,18
2024010713,2024-01-07,3,3,4,BUF,MIA,3,1,64,1,0,(3:04) (NO HUDDLE) 17-J.ALLEN UP THE MIDDLE TO MIA 34 FOR 2 YARDS (51-D.LONG).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OPP,0,,0,,0,18
2024010713,2024-01-07,3,3,28,BUF,MIA,2,8,57,0,0,(3:28) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 86-D.KINCAID TO MIA 36 FOR 7 YARDS (21-D.ELLIOTT).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,18
2024010713,2024-01-07,3,4,3,BUF,MIA,1,10,55,0,0,(4:03) 4-J.COOK RIGHT GUARD TO MIA 43 FOR 2 YARDS (53-C.GOODE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,45,OPP,0,,0,,0,18
2024010713,2024-01-07,3,10,42,BUF,MIA,3,5,52,0,0,(10:42) (SHOTGUN) 17-J.ALLEN SACKED AT BUF 44 FOR -8 YARDS (9-M.INGRAM).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,18
2024010713,2024-01-07,3,12,18,BUF,MIA,0,0,100,1,0,TIMEOUT AT 12:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,3,15,0,BUF,MIA,0,0,65,1,0,"7-J.SANDERS KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18
2024010713,2024-01-07,2,0,0,BUF,MIA,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,2,0,11,BUF,MIA,1,10,89,0,0,(:11) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 26-T.JOHNSON TO MIA 2 FOR 9 YARDS (33-E.APPLE; 55-J.BAKER).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,18
2024010713,2024-01-07,2,0,11,BUF,MIA,0,0,100,1,0,TIMEOUT #2 BY MIA AT 00:11.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,2,0,15,BUF,MIA,3,10,77,1,0,(:15) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 11-D.HARTY RAN OB AT MIA 11 FOR 12 YARDS (5-J.RAMSEY).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,18
2024010713,2024-01-07,2,0,15,BUF,MIA,0,0,100,1,0,TIMEOUT #1 BY MIA AT 00:15.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,2,0,21,BUF,MIA,2,10,77,0,0,(:21) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE DEEP LEFT TO 4-J.COOK.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,18
2024010713,2024-01-07,2,0,25,BUF,MIA,1,10,77,0,0,"(:25) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 86-D.KINCAID RAN OB AT MIA 23 FOR NO GAIN. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,18
2024010713,2024-01-07,2,0,44,BUF,MIA,1,10,60,1,0,"(:44) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS TO MIA 23 FOR 17 YARDS (29-B.JONES; 55-J.BAKER).",0,2023,17,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,18
2024010713,2024-01-07,2,1,5,BUF,MIA,0,0,100,1,0,TIMEOUT #3 BY BUF AT 01:05.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010713,2024-01-07,2,1,43,BUF,MIA,0,0,65,1,0,"7-J.SANDERS KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18
2024010713,2024-01-07,2,4,31,BUF,MIA,0,0,85,1,0,"2-T.BASS EXTRA POINT IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,18
2024010713,2024-01-07,2,4,36,BUF,MIA,2,6,94,1,0,"(4:36) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 16-T.SHERFIELD FOR 6 YARDS, TOUCHDOWN.",0,2023,6,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,18
2024010713,2024-01-07,2,5,14,BUF,MIA,1,7,93,0,0,"(5:14) (NO HUDDLE, SHOTGUN) 4-J.COOK LEFT TACKLE TO MIA 6 FOR 1 YARD (55-J.BAKER).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,7,OPP,0,,0,,0,18
