GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week
2023111905,2023-11-19,4,12,5,JAX,TEN,3,7,67,1,0,(12:05) (SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 17-E.ENGRAM TO TEN 20 FOR 13 YARDS (44-M.BROWN; 56-M.RICE).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,11
2023111905,2023-11-19,4,11,17,JAX,TEN,1,10,80,0,0,(11:17) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 7-Z.JONES TO TEN 18 FOR 2 YARDS (23-T.AVERY).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,11
2023111905,2023-11-19,4,10,33,JAX,TEN,2,8,82,0,0,(10:33) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 1-T.ETIENNE TO TEN 13 FOR 5 YARDS (56-M.RICE).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,11
2023111905,2023-11-19,4,9,45,JAX,TEN,3,3,87,0,0,(9:45) (SHOTGUN) 1-T.ETIENNE UP THE MIDDLE TO TEN 11 FOR 2 YARDS (56-M.RICE).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,13,OPP,0,,0,,0,11
2023111905,2023-11-19,4,8,58,JAX,TEN,4,1,89,1,0,"(8:58) 4-T.BIGSBY RIGHT GUARD TO TEN 8 FOR 3 YARDS (58-H.LANDRY, 56-M.RICE).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,11,OPP,0,,0,,0,11
2023111905,2023-11-19,4,8,16,JAX,TEN,1,8,92,0,0,(8:16) (SHOTGUN) 25-D.JOHNSON RIGHT END TO TEN 5 FOR 3 YARDS (21-R.MCCREARY).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,8,OPP,0,,0,,0,11
2023111905,2023-11-19,4,7,34,JAX,TEN,2,5,95,1,0,"(7:34) (SHOTGUN) 16-T.LAWRENCE RIGHT END FOR 5 YARDS, TOUCHDOWN.",0,2023,5,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,5,OPP,0,,0,,0,11
2023112602,2023-11-26,2,9,50,JAX,HOU,3,5,95,0,0,"(9:50) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT LEFT TO 7-Z.JONES (30-D.HOUSTON-CARSON). PENALTY ON HOU-30-D.HOUSTON-CARSON, DEFENSIVE PASS INTERFERENCE, 4 YARDS, ENFORCED AT HOU 5 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,5,OPP,1,HOU,1,DEFENSIVE PASS INTERFERENCE,4,12
2023112602,2023-11-26,3,11,57,JAX,HOU,2,1,52,1,0,(11:57) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT INTENDED FOR 17-E.ENGRAM INTERCEPTED BY 24-D.STINGLEY AT HOU 40. 24-D.STINGLEY TO JAX 46 FOR 14 YARDS (79-L.FORTNER).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,1,0,0,0,0,,48,OPP,0,,0,,0,12
2023121004,2023-12-10,2,2,43,JAX,CLE,3,3,51,1,0,(2:43) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 7-Z.JONES RAN OB AT CLE 44 FOR 5 YARDS (29-C.MITCHELL) [44-S.TAKITAKI].,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,14
2023121004,2023-12-10,2,2,20,JAX,CLE,1,10,56,0,0,(2:20) (SHOTGUN) 1-T.ETIENNE LEFT TACKLE TO CLE 42 FOR 2 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,44,OPP,0,,0,,0,14
2023122408,2023-12-24,3,1,54,JAX,TB,2,10,64,1,0,(1:54) (SHOTGUN) 16-T.LAWRENCE SCRAMBLES LEFT END RAN OB AT TB 24 FOR 12 YARDS (29-C.IZIEN).,0,2023,12,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,16
2023122408,2023-12-24,3,1,24,JAX,TB,1,10,76,0,0,"(1:24) (NO HUDDLE, SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 11-P.WASHINGTON TO TB 18 FOR 6 YARDS (45-D.WHITE).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,16
2023122408,2023-12-24,3,0,57,JAX,TB,2,4,82,1,0,"(:57) (NO HUDDLE, SHOTGUN) 16-T.LAWRENCE PASS DEEP RIGHT TO 0-C.RIDLEY FOR 18 YARDS, TOUCHDOWN.",0,2023,18,NO HUDDLE SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,16
2023122408,2023-12-24,3,0,50,JAX,TB,0,0,98,1,0,TWO-POINT CONVERSION ATTEMPT. 16-T.LAWRENCE PASS TO 15-T.JONES IS INCOMPLETE. ATTEMPT FAILS.,0,2023,0,UNDER CENTER,TWO-POINT CONVERSION,0,0,0,0,,0,0,0,,0,0,0,1,0,,2,OPP,0,,0,,0,16
