GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week
2023110600,2023-11-06,4,3,42,NYJ,LAC,2,1,100,0,0,"(3:42) (SHOTGUN) 2-Z.WILSON SACKED AT NYJ 41 FOR -9 YARDS (52-K.MACK). FUMBLES (52-K.MACK), RECOVERED BY LAC-32-A.GILMAN AT 50. 32-A.GILMAN PUSHED OB AT NYJ 2 FOR 48 YARDS (20-BRE.HALL). PENALTY ON NYJ-54-B.TURNER, ILLEGAL USE OF HANDS, DECLINED.",0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,1,0,0,,0,OPP,0,NYJ,0,ILLEGAL USE OF HANDS,0,9
2023111903,2023-11-19,1,11,52,GB,LAC,3,1,51,0,0,(11:52) 11-J.REED RIGHT TACKLE TO 50 FOR -1 YARDS (95-N.WILLIAMS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,49,OPP,0,,0,,0,11
2023111903,2023-11-19,2,10,22,GB,LAC,1,10,65,0,0,(10:22) (SHOTGUN) 31-EM.WILSON RIGHT GUARD TO LAC 30 FOR 5 YARDS (6-E.KENDRICKS).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,35,OPP,0,,0,,0,11
2023111903,2023-11-19,2,9,42,GB,LAC,2,5,70,0,0,(9:42) 31-EM.WILSON LEFT GUARD TO LAC 26 FOR 4 YARDS (6-E.KENDRICKS; 9-K.MURRAY).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,30,OPP,0,,0,,0,11
2023112610,2023-11-26,3,7,58,BAL,LAC,0,0,100,1,0,TIMEOUT #1 BY BAL AT 07:58.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12
2023112610,2023-11-26,3,7,58,BAL,LAC,4,1,59,1,0,(7:58) (SHOTGUN) 35-G.EDWARDS RIGHT GUARD TO LAC 39 FOR 2 YARDS (9-K.MURRAY).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,41,OPP,0,,0,,0,12
2023121400,2023-12-14,1,11,28,LV,LAC,3,3,53,1,0,(11:28) (SHOTGUN) 22-A.ABDULLAH RIGHT TACKLE TO LAC 42 FOR 5 YARDS (6-E.KENDRICKS).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,47,OPP,0,,0,,0,15
2023121400,2023-12-14,1,10,53,LV,LAC,1,10,58,0,0,(10:53) (SHOTGUN) 34-B.BOLDEN RIGHT END TO LAC 43 FOR -1 YARDS (43-M.DAVIS).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,42,OPP,0,,0,,0,15
2023121400,2023-12-14,3,12,51,LV,LAC,1,10,62,0,0,(12:51) 4-A.O'CONNELL PASS INCOMPLETE SHORT LEFT TO 16-J.MEYERS.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,15
2023121400,2023-12-14,3,12,45,LV,LAC,2,10,62,0,0,(12:45) (SHOTGUN) 4-A.O'CONNELL PASS INCOMPLETE SHORT LEFT TO 81-A.HOOPER (9-K.MURRAY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,15
