GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week
2023111211,2023-11-12,2,0,21,LV,NYJ,1,10,63,0,0,(:21) (SHOTGUN) 4-A.O'CONNELL PASS INCOMPLETE SHORT RIGHT TO 17-D.ADAMS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,10
2023111909,2023-11-19,2,13,37,BUF,NYJ,1,10,77,0,0,(13:37) 76-D.EDWARDS REPORTED IN AS ELIGIBLE.  11-D.HARTY LEFT END TO NYJ 25 FOR -2 YARDS (4-D.REED).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,23,OPP,0,,0,,0,11
2023111909,2023-11-19,2,12,52,BUF,NYJ,2,12,75,0,0,(12:52) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 86-D.KINCAID TO NYJ 26 FOR -1 YARDS (4-D.REED).,0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,11
2023111909,2023-11-19,2,12,10,BUF,NYJ,3,13,74,0,0,"(12:10) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 85-Q.MORRIS TO NYJ 15 FOR 11 YARDS (0-A.AMOS, 57-C.MOSLEY).",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,11
2023111909,2023-11-19,2,11,29,BUF,NYJ,4,2,85,0,0,"(11:29) 2-T.BASS 33 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,11
2023121701,2023-12-17,1,9,5,MIA,NYJ,1,1,99,0,0,(9:05) (SHOTGUN) 31-R.MOSTERT UP THE MIDDLE TO NYJ 1 FOR NO GAIN (56-QU.WILLIAMS; 91-J.FRANKLIN-MYERS).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,1,OPP,0,,0,,0,15
2023121701,2023-12-17,1,8,22,MIA,NYJ,2,1,99,0,0,(8:22) 31-R.MOSTERT LEFT TACKLE TO NYJ 2 FOR -1 YARDS (22-T.ADAMS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,1,OPP,0,,0,,0,15
2023121701,2023-12-17,1,7,41,MIA,NYJ,3,2,98,1,0,"(7:41) (SHOTGUN) 31-R.MOSTERT LEFT END FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,2,OPP,0,,0,,0,15
2023121701,2023-12-17,1,7,37,MIA,NYJ,0,0,85,1,0,"7-J.SANDERS EXTRA POINT IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,15
2023121701,2023-12-17,1,5,23,MIA,NYJ,1,10,59,0,0,(5:23) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 83-C.CLAYPOOL TO NYJ 36 FOR 5 YARDS (11-J.JOHNSON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,15
2023121701,2023-12-17,1,4,42,MIA,NYJ,2,5,64,0,0,(4:42) (SHOTGUN) 28-D.ACHANE LEFT END TO NYJ 34 FOR 2 YARDS (95-Q.WILLIAMS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OPP,0,,0,,0,15
2023121701,2023-12-17,1,3,57,MIA,NYJ,3,3,66,1,0,(3:57) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 28-D.ACHANE PUSHED OB AT NYJ 29 FOR 5 YARDS (56-QU.WILLIAMS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,15
2023121701,2023-12-17,1,2,38,MIA,NYJ,2,7,74,1,0,(2:38) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 81-D.SMYTHE TO NYJ 19 FOR 7 YARDS (44-J.SHERWOOD).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,15
2023121701,2023-12-17,2,5,27,MIA,NYJ,0,0,100,1,0,TIMEOUT AT 05:27.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15
2024010704,2024-01-07,3,7,1,NE,NYJ,0,0,100,1,0,TIMEOUT AT 07:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,3,8,43,NE,NYJ,0,0,100,1,0,TIMEOUT AT 08:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,3,11,11,NE,NYJ,3,8,100,0,0,(11:11) (SHOTGUN) 4-B.ZAPPE SACKED AT NE 46 FOR -4 YARDS (95-Q.WILLIAMS).,0,2023,-4,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,3,13,11,NE,NYJ,0,0,100,1,0,TIMEOUT AT 13:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,2,0,0,NE,NYJ,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,2,0,4,NE,NYJ,0,0,100,1,0,TIMEOUT #3 BY NYJ AT 00:04.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,2,4,40,NE,NYJ,0,0,100,1,0,TIMEOUT AT 04:40.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,2,6,7,NE,NYJ,0,0,65,1,0,"9-G.ZUERLEIN KICKS 65 YARDS FROM NYJ 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18
2024010704,2024-01-07,2,6,7,NE,NYJ,0,0,100,1,0,TIMEOUT AT 06:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,2,9,32,NE,NYJ,0,0,100,1,0,TIMEOUT AT 09:32.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,2,9,35,NE,NYJ,4,4,88,0,0,"(9:35) 37-C.RYLAND 30 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,18
2024010704,2024-01-07,2,9,40,NE,NYJ,3,4,88,0,0,(9:40) (SHOTGUN) 4-B.ZAPPE PASS INCOMPLETE SHORT LEFT TO 88-M.GESICKI (22-T.ADAMS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,18
2024010704,2024-01-07,2,10,16,NE,NYJ,2,8,84,0,0,(10:16) (SHOTGUN) 4-B.ZAPPE PASS SHORT RIGHT TO 36-K.HARRIS PUSHED OB AT NYJ 12 FOR 4 YARDS (56-QU.WILLIAMS).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,18
2024010704,2024-01-07,2,10,53,NE,NYJ,1,10,82,0,0,(10:53) 36-K.HARRIS UP THE MIDDLE TO NYJ 16 FOR 2 YARDS (4-D.REED; 22-T.ADAMS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,18,OPP,0,,0,,0,18
2024010704,2024-01-07,2,11,43,NE,NYJ,2,4,78,1,0,(11:43) (SHOTGUN) 15-E.ELLIOTT RIGHT END PUSHED OB AT NYJ 18 FOR 4 YARDS (1-A.GARDNER).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,22,OPP,0,,0,,0,18
2024010704,2024-01-07,2,12,23,NE,NYJ,1,10,72,0,0,(12:23) (SHOTGUN) 15-E.ELLIOTT RIGHT TACKLE TO NYJ 22 FOR 6 YARDS (1-A.GARDNER; 56-QU.WILLIAMS).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,28,OPP,0,,0,,0,18
2024010704,2024-01-07,1,8,45,NE,NYJ,0,0,100,1,0,TIMEOUT AT 08:45.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,1,10,30,NE,NYJ,0,0,100,1,0,TIMEOUT AT 10:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,1,12,27,NE,NYJ,0,0,100,1,0,TIMEOUT AT 12:27.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,1,15,0,NE,NYJ,0,0,65,1,0,"9-G.ZUERLEIN KICKS 65 YARDS FROM NYJ 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18
2024010704,2024-01-07,4,0,50,NE,NYJ,0,0,100,1,0,TIMEOUT #1 BY NE AT 00:50.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18
2024010704,2024-01-07,4,1,47,NE,NYJ,0,0,65,1,0,5-T.MORSTEAD KICKS 50 YARDS FROM NYJ 35 TO NE 15. 83-J.REAGOR TO NE 30 FOR 15 YARDS (55-C.SURRATT).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18
2024010704,2024-01-07,4,8,8,NE,NYJ,0,0,65,1,0,9-G.ZUERLEIN KICKS 62 YARDS FROM NYJ 35 TO NE 3. 36-K.HARRIS TO NE 23 FOR 20 YARDS (44-J.SHERWOOD; 29-J.BERNARD-CONVERSE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18
2023122800,2023-12-28,1,15,0,CLE,NYJ,0,0,65,1,0,"9-G.ZUERLEIN KICKS 65 YARDS FROM NYJ 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17
2023122800,2023-12-28,2,0,0,CLE,NYJ,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17
2023122800,2023-12-28,2,4,39,CLE,NYJ,0,0,100,1,0,TIMEOUT AT 04:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17
2023122800,2023-12-28,2,6,15,CLE,NYJ,0,0,100,1,0,TIMEOUT AT 06:15.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17
2023122800,2023-12-28,2,6,15,CLE,NYJ,0,0,85,1,0,"36-R.PATTERSON EXTRA POINT IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-39-M.HAACK.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,17
2023122800,2023-12-28,2,6,20,CLE,NYJ,3,8,92,1,0,"(6:20) (SHOTGUN) 15-J.FLACCO PASS SHORT LEFT TO 8-E.MOORE FOR 8 YARDS, TOUCHDOWN.",0,2023,8,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,17
2023122800,2023-12-28,2,7,1,CLE,NYJ,2,8,92,0,0,(7:01) 53-N.HARRIS REPORTED IN AS ELIGIBLE.  34-J.FORD RIGHT GUARD TO NYJ 8 FOR NO GAIN (11-J.JOHNSON).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,8,OPP,0,,0,,0,17
2023122800,2023-12-28,2,7,6,CLE,NYJ,1,8,92,0,0,(7:06) 15-J.FLACCO PASS INCOMPLETE SHORT RIGHT TO 8-E.MOORE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,17
2023122800,2023-12-28,2,7,42,CLE,NYJ,3,1,89,1,0,(7:42) 15-J.FLACCO RIGHT GUARD TO NYJ 8 FOR 3 YARDS (91-J.FRANKLIN-MYERS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,11,OPP,0,,0,,0,17
2023122800,2023-12-28,2,8,19,CLE,NYJ,2,6,84,0,0,(8:19) (SHOTGUN) 15-J.FLACCO PASS SHORT LEFT TO 88-H.BRYANT TO NYJ 11 FOR 5 YARDS (56-QU.WILLIAMS; 57-C.MOSLEY).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,17
