GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week
2023111910,2023-11-19,3,13,57,LA,SEA,1,10,83,0,0,(13:57) 21-Z.EVANS RIGHT END TO LAR 17 FOR NO GAIN (54-B.WAGNER; 90-JA.REED).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,17,OPP,0,,0,,0,11
2023111910,2023-11-19,3,13,29,LA,SEA,2,10,83,0,0,(13:29) (SHOTGUN) 9-M.STAFFORD SCRAMBLES RIGHT END TO LAR 20 FOR 3 YARDS (20-J.LOVE).,0,2023,3,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,11
2023111910,2023-11-19,3,1,49,LA,SEA,1,10,85,0,0,"(1:49) 24-R.FREEMAN RIGHT END TO LAR 31 FOR 16 YARDS (6-Q.DIGGS). PENALTY ON LAR-17-P.NACUA, OFFENSIVE HOLDING, 8 YARDS, ENFORCED AT LAR 17.",0,2023,16,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,15,OPP,1,LAR,0,OFFENSIVE HOLDING,8,11
2023111910,2023-11-19,4,1,42,LA,SEA,0,0,100,1,0,TIMEOUT #2 BY LAR AT 01:42.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11
2023112302,2023-11-23,1,0,50,SF,SEA,1,10,81,0,0,(:50) 23-C.MCCAFFREY LEFT GUARD TO SEA 17 FOR 2 YARDS (90-JA.REED; 97-M.EDWARDS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,19,OPP,0,,0,,0,12
2023112302,2023-11-23,1,0,11,SF,SEA,2,8,83,0,0,"(:11) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 85-G.KITTLE TO SEA 16 FOR 1 YARD (56-J.BROOKS, 97-M.EDWARDS) [54-B.WAGNER].",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,12
2023112302,2023-11-23,1,0,0,SF,SEA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12
2023112302,2023-11-23,2,15,0,SF,SEA,3,7,84,0,0,"(15:00) (SHOTGUN) 13-B.PURDY SACKED AT SEA 16 FOR 0 YARDS (54-B.WAGNER). PENALTY ON SEA-22-T.BROWN, ILLEGAL CONTACT, 5 YARDS, ENFORCED AT SEA 16 - NO PLAY.",0,2023,0,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,16,OPP,1,SEA,1,ILLEGAL CONTACT,5,12
2023112302,2023-11-23,2,14,39,SF,SEA,1,10,89,0,0,(14:39) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 23-C.MCCAFFREY TO SEA 6 FOR 5 YARDS (56-J.BROOKS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,12
2023112302,2023-11-23,2,13,59,SF,SEA,2,5,94,1,0,(13:59) 23-C.MCCAFFREY LEFT GUARD TO SEA 1 FOR 5 YARDS (20-J.LOVE; 56-J.BROOKS).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,6,OPP,0,,0,,0,12
