GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week
2023111910,2023-11-19,3,15,0,SEA,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11
2023111910,2023-11-19,3,13,57,SEA,LA,0,0,100,1,0,TIMEOUT AT 13:57.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11
2023121008,2023-12-10,1,3,22,SEA,SF,1,10,63,1,0,(3:22) 26-Z.CHARBONNET LEFT END PUSHED OB AT SF 14 FOR 23 YARDS (27-J.BROWN).,0,2023,23,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,37,OPP,0,,0,,0,14
2023121008,2023-12-10,1,2,42,SEA,SF,1,10,86,0,0,(2:42) 26-Z.CHARBONNET RIGHT TACKLE TO SF 18 FOR -4 YARDS (97-N.BOSA).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,14,OPP,0,,0,,0,14
2023121008,2023-12-10,1,2,1,SEA,SF,2,14,82,0,0,(2:01) (SHOTGUN) 2-D.LOCK PASS INCOMPLETE SHORT RIGHT TO 9-K.WALKER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,14
2023121801,2023-12-18,2,5,12,SEA,PHI,3,1,54,1,0,(5:12) 9-K.WALKER RIGHT GUARD TO PHI 45 FOR 1 YARD (3-N.SMITH; 53-S.LEONARD).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,46,OPP,0,,0,,0,15
2023121801,2023-12-18,2,4,26,SEA,PHI,1,10,55,0,0,(4:26) 2-D.LOCK PASS SHORT MIDDLE TO 89-W.DISSLY TO PHI 40 FOR 5 YARDS (21-S.BROWN).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,15
2023121801,2023-12-18,2,3,47,SEA,PHI,2,5,60,1,0,(3:47) 9-K.WALKER RIGHT GUARD TO PHI 27 FOR 13 YARDS (31-K.BYARD).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,40,OPP,0,,0,,0,15
2023121801,2023-12-18,2,1,53,SEA,PHI,0,0,100,1,0,TIMEOUT #2 BY PHI AT 01:53.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15
2023121801,2023-12-18,2,1,53,SEA,PHI,2,7,89,0,0,(1:53) (SHOTGUN) 2-D.LOCK PASS INCOMPLETE SHORT RIGHT TO 14-D.METCALF (22-K.RINGO).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,15
2023121801,2023-12-18,2,1,50,SEA,PHI,3,7,89,0,0,(1:50) (SHOTGUN) 2-D.LOCK PASS SHORT MIDDLE TO 11-J.SMITH-NJIGBA TO PHI 8 FOR 3 YARDS (32-R.BLANKENSHIP).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,15
2023121801,2023-12-18,2,1,45,SEA,PHI,0,0,100,1,0,TIMEOUT #3 BY PHI AT 01:45.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15
2023121801,2023-12-18,4,11,18,SEA,PHI,1,10,74,0,0,(11:18) 9-K.WALKER UP THE MIDDLE PUSHED OB AT PHI 30 FOR -4 YARDS (33-B.ROBY).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,26,OPP,0,,0,,0,15
2023121801,2023-12-18,4,10,39,SEA,PHI,2,14,70,0,0,(10:39) (NO HUDDLE) 2-D.LOCK PASS SHORT LEFT TO 14-D.METCALF PUSHED OB AT PHI 18 FOR 12 YARDS (24-J.BRADBERRY; 32-R.BLANKENSHIP).,0,2023,12,NO HUDDLE,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,15
