GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week
2023111206,2023-11-12,2,14,49,TEN,TB,1,10,59,0,0,(14:49) 22-D.HENRY LEFT GUARD TO TB 37 FOR 4 YARDS (7-S.BARRETT).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,41,OPP,0,,0,,0,10
2023112605,2023-11-26,4,10,18,TEN,CAR,2,5,53,0,0,(10:18) 8-W.LEVIS PASS INCOMPLETE SHORT LEFT TO 22-D.HENRY (0-B.BURNS).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,12
2023121100,2023-12-11,2,0,18,TEN,MIA,1,10,100,0,0,"(:18) (SHOTGUN) PENALTY ON TEN-72-C.THROCKMORTON, FALSE START, 5 YARDS, ENFORCED AT 50 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,0,OPP,1,TEN,1,FALSE START,5,14
2023121100,2023-12-11,3,2,1,TEN,MIA,2,8,62,0,0,(2:01) 22-D.HENRY UP THE MIDDLE TO MIA 36 FOR 2 YARDS (91-E.OGBAH).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OPP,0,,0,,0,14
2023121100,2023-12-11,3,1,16,TEN,MIA,3,6,64,1,0,"(1:16) (SHOTGUN) 8-W.LEVIS PASS DEEP RIGHT TO 32-T.SPEARS TO MIA 6 FOR 30 YARDS (29-B.JONES). FUMBLES (29-B.JONES), BALL OUT OF BOUNDS AT MIA 5. MIAMI CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,30,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,1,0,,0,1,0,0,0,,36,OPP,0,,0,,0,14
2023121100,2023-12-11,3,0,56,TEN,MIA,1,6,94,0,0,(:56) 22-D.HENRY UP THE MIDDLE TO MIA 5 FOR 1 YARD (43-A.VAN GINKEL).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,6,OPP,0,,0,,0,14
2023121100,2023-12-11,3,0,20,TEN,MIA,2,5,95,0,0,(:20) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE SHORT RIGHT [94-C.WILKINS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,14
2023121100,2023-12-11,3,0,15,TEN,MIA,3,5,95,1,0,"(:15) (SHOTGUN) 8-W.LEVIS PASS SHORT MIDDLE TO 15-N.WESTBROOK-IKHINE FOR 5 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE PASS COMPLETION RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE SHORT MIDDLE TO 15-N.WESTBROOK-IKHINE (29-B.JONES).",0,2023,5,SHOTGUN,PASS,0,1,1,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,14
2023121703,2023-12-17,1,8,36,TEN,HOU,2,13,63,0,0,(8:36) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 85-C.OKONKWO TO HOU 34 FOR 3 YARDS (6-D.PERRYMAN; 1-J.WARD) [95-D.BARNETT]. HOU-1-J.WARD WAS INJURED DURING THE PLAY.,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,15
2023121703,2023-12-17,1,8,10,TEN,HOU,3,10,66,0,0,"(8:10) (SHOTGUN) 8-W.LEVIS PASS DEEP LEFT TO 15-N.WESTBROOK-IKHINE TO HOU 1 FOR 33 YARDS (21-S.NELSON). PENALTY ON HOU-98-S.RANKINS, DEFENSIVE OFFSIDE, DECLINED. HOUSTON CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,33,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,1,0,,0,0,1,0,0,,34,OPP,0,HOU,0,DEFENSIVE OFFSIDE,0,15
2023121703,2023-12-17,1,7,53,TEN,HOU,0,0,100,1,0,TIMEOUT AT 07:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15
2023121703,2023-12-17,3,0,54,TEN,HOU,2,8,100,0,0,(:54) (SHOTGUN) 22-D.HENRY LEFT TACKLE TO 50 FOR NO GAIN (98-S.RANKINS).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,0,OPP,0,,0,,0,15
2023121703,2023-12-17,4,12,13,TEN,HOU,0,0,100,1,0,TIMEOUT AT 12:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15
2023121703,2023-12-17,4,12,13,TEN,HOU,1,10,54,0,0,(12:13) 22-D.HENRY RIGHT END TO HOU 43 FOR 3 YARDS (6-D.PERRYMAN). TEN-88-T.WESCO WAS INJURED DURING THE PLAY.,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,46,OPP,0,,0,,0,15
2023122407,2023-12-24,2,8,35,TEN,SEA,1,10,100,0,0,(8:35) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT RIGHT TO 10-D.HOPKINS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16
2023122407,2023-12-24,2,8,31,TEN,SEA,2,10,100,1,0,"(8:31) (SHOTGUN) 22-D.HENRY UP THE MIDDLE TO SEA 39 FOR 11 YARDS (54-B.WAGNER, 6-Q.DIGGS).",0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,0,OPP,0,,0,,0,16
2023122407,2023-12-24,4,6,27,TEN,SEA,4,1,73,1,0,(6:27) (NO HUDDLE) 32-T.SPEARS UP THE MIDDLE TO SEA 25 FOR 2 YARDS (55-D.JONES; 54-B.WAGNER).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OPP,0,,0,,0,16
2023122407,2023-12-24,4,5,39,TEN,SEA,1,10,75,0,0,(5:39) 32-T.SPEARS RIGHT END TO SEA 27 FOR -2 YARDS (58-D.HALL).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OPP,0,,0,,0,16
2023122407,2023-12-24,4,5,0,TEN,SEA,2,12,73,0,0,"(5:00) (SHOTGUN) PENALTY ON TEN-71-A.DILLARD, FALSE START, 5 YARDS, ENFORCED AT SEA 27 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,27,OPP,1,TEN,1,FALSE START,5,16
2023122407,2023-12-24,4,5,0,TEN,SEA,2,17,68,0,0,(5:00) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 32-T.SPEARS TO SEA 26 FOR 6 YARDS (58-D.HALL; 54-B.WAGNER).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,16
