GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,GB,CHI
2023091008,2023-09-10,1,15,0,CHI,GB,0,0,65,0,0,"17-A.CARLSON KICKS 64 YARDS FROM GB 35 TO CHI 1. 13-T.SCOTT TO CHI 23 FOR 22 YARDS (25-K.NIXON). PENALTY ON CHI-43-D.GATES, UNNECESSARY ROUGHNESS, 11 YARDS, ENFORCED AT CHI 23.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,CHI,0,UNNECESSARY ROUGHNESS,11,1,0,0,0
2023091008,2023-09-10,1,14,54,CHI,GB,1,10,12,0,0,(14:54) 24-K.HERBERT LEFT GUARD TO CHI 12 FOR NO GAIN (91-P.SMITH).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,12,OWN,0,,0,,0,1,6,0,0
2023091008,2023-09-10,1,14,23,CHI,GB,2,10,12,1,0,(14:23) (SHOTGUN) 1-J.FIELDS PASS SHORT MIDDLE TO 24-K.HERBERT PUSHED OB AT CHI 31 FOR 19 YARDS (23-J.ALEXANDER).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,1,37,0,0
2023091008,2023-09-10,1,13,41,CHI,GB,1,10,31,0,0,"(13:41) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 13-T.SCOTT TO CHI 36 FOR 5 YARDS (29-R.DOUGLAS, 91-P.SMITH).",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,1,79,0,0
2023091008,2023-09-10,1,12,55,CHI,GB,2,5,36,0,0,(12:55) (SHOTGUN) 24-K.HERBERT RIGHT TACKLE TO CHI 40 FOR 4 YARDS (55-K.ENAGBARE).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,36,OWN,0,,0,,0,1,125,0,0
2023091008,2023-09-10,1,12,15,CHI,GB,3,1,40,0,0,(12:15) (SHOTGUN) DIRECT SNAP TO 85-C.KMET.  85-C.KMET UP THE MIDDLE TO CHI 40 FOR NO GAIN (91-P.SMITH).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OWN,0,,0,,0,1,165,0,0
2023091008,2023-09-10,1,11,39,CHI,GB,4,1,40,0,0,(11:39) 1-J.FIELDS UP THE MIDDLE TO CHI 40 FOR NO GAIN (91-P.SMITH). OFFICIAL MEASUREMENT,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OWN,0,,0,,0,1,201,0,0
2023091008,2023-09-10,1,11,31,CHI,GB,0,0,100,1,0,TIMEOUT AT 11:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,209,0,0
2023091008,2023-09-10,1,11,31,GB,CHI,1,10,60,0,0,(11:31) 33-A.JONES LEFT TACKLE TO CHI 41 FOR -1 YARDS (95-D.WALKER).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,40,OPP,0,,0,,0,1,209,0,0
2023091008,2023-09-10,1,10,56,GB,CHI,2,11,59,0,0,(10:56) (SHOTGUN) 11-J.REED LEFT END TO CHI 43 FOR -2 YARDS (29-T.STEVENSON). LATERAL FROM QB,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OPP,0,,0,,0,1,244,0,0
