GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,TB,CAR
2023120304,2023-12-03,1,15,0,TB,CAR,0,0,65,1,0,"4-E.PINEIRO KICKS 65 YARDS FROM CAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,13,0,0,0
2023120304,2023-12-03,1,15,0,TB,CAR,1,10,25,0,0,(15:00) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO TB 33 FOR 8 YARDS (99-S.TUTTLE; 49-F.LUVU).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,13,0,0,0
2023120304,2023-12-03,1,14,29,TB,CAR,2,2,33,0,0,(14:29) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT TO 14-C.GODWIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,13,31,0,0
2023120304,2023-12-03,1,14,26,TB,CAR,3,2,33,1,0,(14:26) (SHOTGUN) 83-D.THOMPKINS LEFT END RAN OB AT TB 35 FOR 2 YARDS (13-T.HILL).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,33,OWN,0,,0,,0,13,34,0,0
2023120304,2023-12-03,1,13,47,TB,CAR,1,10,35,0,0,(13:47) 1-R.WHITE LEFT GUARD TO TB 39 FOR 4 YARDS (0-B.BURNS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,35,OWN,0,,0,,0,13,73,0,0
2023120304,2023-12-03,1,13,6,TB,CAR,2,6,39,1,0,"(13:06) (SHOTGUN) 10-T.PALMER LEFT END TO CAR 48 FOR 13 YARDS (40-D.JONES, 25-X.WOODS).",0,2023,13,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,39,OWN,0,,0,,0,13,114,0,0
2023120304,2023-12-03,1,12,21,TB,CAR,1,10,52,0,0,(12:21) 1-R.WHITE UP THE MIDDLE TO CAR 47 FOR 1 YARD (90-A.BARNO; 95-DER.BROWN).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,48,OPP,0,,0,,0,13,159,0,0
2023120304,2023-12-03,1,11,48,TB,CAR,2,9,53,0,0,"(11:48) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 88-C.OTTON PUSHED OB AT CAR 34 FOR 13 YARDS (49-F.LUVU). PENALTY ON TB-1-R.WHITE, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT CAR 47 - NO PLAY.",0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,47,OPP,1,TB,1,OFFENSIVE PASS INTERFERENCE,10,13,192,0,0
2023120304,2023-12-03,1,11,20,TB,CAR,2,19,43,0,0,(11:20) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO TB 49 FOR 6 YARDS (98-M.HAYNES).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OWN,0,,0,,0,13,220,0,0
2023120304,2023-12-03,1,10,42,TB,CAR,3,13,49,0,0,(10:42) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 10-T.PALMER (13-T.HILL).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,13,258,0,0
