GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,DET
2023122405,2023-12-24,1,15,0,DET,MIN,1,10,25,1,0,(15:00) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 8-J.REYNOLDS TO DET 41 FOR 16 YARDS (24-C.BYNUM).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023122405,2023-12-24,1,15,0,DET,MIN,0,0,65,1,0,"1-G.JOSEPH KICKS 65 YARDS FROM MIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023122405,2023-12-24,1,14,26,DET,MIN,1,10,41,0,0,(14:26) (SHOTGUN) 5-D.MONTGOMERY UP THE MIDDLE TO DET 42 FOR 1 YARD (99-D.HUNTER).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,41,OWN,0,,0,,0,34,0,0
2023122405,2023-12-24,1,13,51,DET,MIN,2,9,42,1,0,"(13:51) 5-D.MONTGOMERY RIGHT END TO MIN 48 FOR 10 YARDS (5-M.BLACKMON, 24-C.BYNUM).",0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,42,OWN,0,,0,,0,69,0,0
2023122405,2023-12-24,1,13,17,DET,MIN,1,10,52,0,0,(13:17) 70-D.SKIPPER REPORTED IN AS ELIGIBLE.  16-J.GOFF PASS SHORT LEFT TO 26-J.GIBBS PUSHED OB AT MIN 40 FOR 8 YARDS (44-J.METELLUS).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,103,0,0
2023122405,2023-12-24,1,12,45,DET,MIN,2,2,60,0,0,(12:45) 5-D.MONTGOMERY LEFT GUARD TO MIN 43 FOR -3 YARDS (91-P.JONES).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,40,OPP,0,,0,,0,135,0,0
2023122405,2023-12-24,1,12,1,DET,MIN,3,5,57,1,0,(12:01) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN TO MIN 29 FOR 14 YARDS (44-J.METELLUS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,179,0,0
2023122405,2023-12-24,1,11,32,DET,MIN,1,10,71,0,0,"(11:32) (NO HUDDLE, SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 87-S.LAPORTA PUSHED OB AT MIN 12 FOR 17 YARDS (58-J.HICKS). PENALTY ON DET-11-K.RAYMOND, OFFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT MIN 29 - NO PLAY.",0,2023,17,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,29,OPP,1,DET,1,OFFENSIVE OFFSIDE,5,208,0,0
2023122405,2023-12-24,1,11,3,DET,MIN,1,15,66,0,0,(11:03) 5-D.MONTGOMERY LEFT TACKLE TO MIN 31 FOR 3 YARDS (97-H.PHILLIPS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,34,OPP,0,,0,,0,237,0,0
2023122405,2023-12-24,1,10,21,DET,MIN,2,12,69,0,0,(10:21) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 11-K.RAYMOND TO MIN 20 FOR 11 YARDS (5-M.BLACKMON).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,279,0,0
2023122405,2023-12-24,1,9,41,DET,MIN,3,1,80,1,0,(9:41) 5-D.MONTGOMERY RIGHT TACKLE TO MIN 16 FOR 4 YARDS (58-J.HICKS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,20,OPP,0,,0,,0,319,0,0
2023122405,2023-12-24,1,9,11,DET,MIN,1,10,84,0,0,(9:11) 16-J.GOFF PASS INCOMPLETE DEEP LEFT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,349,0,0
2023122405,2023-12-24,1,9,5,DET,MIN,2,10,84,1,0,"(9:05) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 9-J.WILLIAMS TO MIN 4 FOR 12 YARDS (24-C.BYNUM). FUMBLES (24-C.BYNUM), TOUCHED AT MIN 3, BALL OUT OF BOUNDS AT MIN 4.",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,,16,OPP,0,,0,,0,355,0,0
2023122405,2023-12-24,1,8,31,DET,MIN,1,4,96,0,0,(8:31) 5-D.MONTGOMERY RIGHT GUARD TO MIN 2 FOR 2 YARDS (99-D.HUNTER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,4,OPP,0,,0,,0,389,0,0
2023122405,2023-12-24,1,7,53,DET,MIN,2,2,98,0,0,(7:53) 5-D.MONTGOMERY LEFT TACKLE TO MIN 1 FOR 1 YARD (99-D.HUNTER; 97-H.PHILLIPS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,2,OPP,0,,0,,0,427,0,0
2023122405,2023-12-24,1,7,17,DET,MIN,3,1,99,1,0,"(7:17) 70-D.SKIPPER REPORTED IN AS ELIGIBLE.  5-D.MONTGOMERY RIGHT GUARD FOR 1 YARD, TOUCHDOWN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT GUARD,1,OPP,0,,0,,0,463,0,0
2023122405,2023-12-24,1,7,13,MIN,DET,0,0,100,1,0,TIMEOUT AT 07:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,467,0,0
2023122405,2023-12-24,1,7,13,MIN,DET,1,10,25,1,0,(7:13) 12-N.MULLENS PASS SHORT RIGHT TO 84-J.OLIVER PUSHED OB AT DET 42 FOR 33 YARDS (31-K.JOSEPH).,0,2023,33,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,467,0,0
