GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CHI,LV
2023102201,2023-10-22,1,15,0,CHI,LV,0,0,65,1,0,"2-D.CARLSON KICKS 65 YARDS FROM LV 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023102201,2023-10-22,1,15,0,CHI,LV,1,10,25,0,0,"(15:00) (SHOTGUN) 17-T.BAGENT PASS SHORT LEFT TO 2-D.MOORE PUSHED OB AT CHI 29 FOR 4 YARDS (5-D.DEABLO, 51-M.KOONCE).",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023102201,2023-10-22,1,14,22,CHI,LV,2,6,29,0,0,(14:22) 25-D.EVANS RIGHT GUARD TO CHI 28 FOR -1 YARDS (91-B.NICHOLS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,29,OWN,0,,0,,0,38,0,0
2023102201,2023-10-22,1,13,43,CHI,LV,3,7,28,0,0,(13:43) (SHOTGUN) 17-T.BAGENT PASS INCOMPLETE SHORT LEFT TO 21-D.FOREMAN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,77,0,0
2023102201,2023-10-22,1,13,38,CHI,LV,4,7,28,0,0,"(13:38) 16-T.GILL PUNTS 47 YARDS TO LV 25, CENTER-48-P.SCALES. 3-D.CARTER PUSHED OB AT LV 43 FOR 18 YARDS (55-D.COLE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,82,0,0
2023102201,2023-10-22,1,13,27,LV,CHI,1,10,43,1,0,(13:27) 7-B.HOYER PASS SHORT LEFT TO 17-D.ADAMS RAN OB AT CHI 46 FOR 11 YARDS (29-T.STEVENSON).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,93,0,0
2023102201,2023-10-22,1,12,57,LV,CHI,1,10,54,0,0,"(12:57) 11-T.TUCKER LEFT END TO CHI 44 FOR 2 YARDS (9-J.BRISKER, 91-Y.NGAKOUE).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,46,OPP,0,,0,,0,123,0,0
2023102201,2023-10-22,1,12,19,LV,CHI,2,8,56,1,0,(12:19) 7-B.HOYER PASS SHORT MIDDLE TO 17-D.ADAMS TO CHI 29 FOR 15 YARDS (9-J.BRISKER).,0,2023,15,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,161,0,0
2023102201,2023-10-22,1,11,36,LV,CHI,1,10,71,0,0,(11:36) 8-J.JACOBS LEFT GUARD TO CHI 26 FOR 3 YARDS (49-T.EDMUNDS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,29,OPP,0,,0,,0,204,0,0
2023102201,2023-10-22,1,10,58,LV,CHI,2,7,74,0,0,(10:58) 7-B.HOYER PASS SHORT LEFT TO 17-D.ADAMS TO CHI 23 FOR 3 YARDS (9-J.BRISKER).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,242,0,0
