GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,ARI
2023110503,2023-11-05,1,15,0,ARI,CLE,0,0,65,1,0,7-D.HOPKINS KICKS 54 YARDS FROM CLE 35 TO ARI 11. 83-G.DORTCH TO ARI 25 FOR 14 YARDS (28-M.FORD; 6-J.OWUSU-KORAMOAH).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023110503,2023-11-05,1,14,56,ARI,CLE,1,10,25,0,0,(14:56) 4-R.MOORE RIGHT GUARD TO ARI 27 FOR 2 YARDS (22-G.DELPIT).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,4,0,0
2023110503,2023-11-05,1,14,24,ARI,CLE,2,8,27,1,0,(14:24) 15-C.TUNE PASS SHORT RIGHT TO 85-T.MCBRIDE PUSHED OB AT ARI 39 FOR 12 YARDS (22-G.DELPIT).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,36,0,0
2023110503,2023-11-05,1,13,51,ARI,CLE,1,10,39,1,0,"(13:51) 30-K.INGRAM RIGHT GUARD TO 50 FOR 11 YARDS (1-J.THORNHILL, 5-A.WALKER).",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,39,OWN,0,,0,,0,69,0,0
2023110503,2023-11-05,1,13,12,ARI,CLE,1,10,100,0,0,"(13:12) 61-C.O'DONNELL REPORTED IN AS ELIGIBLE.  30-K.INGRAM LEFT GUARD TO CLE 48 FOR 2 YARDS (26-R.MCLEOD, 44-S.TAKITAKI).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,0,OPP,0,,0,,0,108,0,0
2023110503,2023-11-05,1,12,36,ARI,CLE,2,8,52,0,0,(12:36) (SHOTGUN) 15-C.TUNE PASS INCOMPLETE SHORT LEFT TO 2-M.BROWN (95-M.GARRETT).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,144,0,0
2023110503,2023-11-05,1,12,34,ARI,CLE,3,8,52,0,0,(12:34) (SHOTGUN) 15-C.TUNE PASS SHORT RIGHT TO 2-M.BROWN TO CLE 48 FOR NO GAIN (22-G.DELPIT).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,146,0,0
2023110503,2023-11-05,1,12,1,ARI,CLE,4,8,52,0,0,"(12:01) 12-B.GILLIKIN PUNTS 37 YARDS TO CLE 11, CENTER-46-A.BREWER, FAIR CATCH BY 11-J.PROCHE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,179,0,0
2023110503,2023-11-05,1,11,53,CLE,ARI,1,10,11,0,0,(11:53) (SHOTGUN) 34-J.FORD RIGHT GUARD TO CLE 17 FOR 6 YARDS (7-K.WHITE).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,11,OWN,0,,0,,0,187,0,0
2023110503,2023-11-05,1,11,53,CLE,ARI,0,0,100,1,0,TIMEOUT AT 11:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,187,0,0
2023110503,2023-11-05,1,11,19,CLE,ARI,2,4,17,0,0,"(11:19) (SHOTGUN) 53-N.HARRIS REPORTED IN AS ELIGIBLE. DIRECT SNAP TO 34-J.FORD.  34-J.FORD RIGHT GUARD TO CLE 19 FOR 2 YARDS (92-K.STRONG, 25-Z.COLLINS).",0,2023,0,SHOTGUN,,0,0,0,0,,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,221,0,0
2023110503,2023-11-05,1,10,35,CLE,ARI,3,2,19,1,0,(10:35) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 34-J.FORD PUSHED OB AT CLE 36 FOR 17 YARDS (3-B.BAKER).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,265,0,0
2023110503,2023-11-05,1,9,59,CLE,ARI,1,10,36,0,0,"(9:59) (SHOTGUN) 4-D.WATSON PASS SHORT LEFT TO 8-E.MOORE RAN OB AT CLE 43 FOR 7 YARDS. PENALTY ON CLE-71-J.WILLS, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CLE 36 - NO PLAY.",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,36,OWN,1,CLE,1,OFFENSIVE HOLDING,10,301,0,0
