,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week
98,2023123000,2023-12-30,4,2,45,DAL,DET,3,5,58,0,0,"(2:45) (SHOTGUN) 4-D.PRESCOTT SACKED AT 50 FOR -8 YARDS (97-A.HUTCHINSON). FUMBLES (97-A.HUTCHINSON) [97-A.HUTCHINSON], RECOVERED BY DAL-78-T.STEELE AT 50.",0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,42,OPP,0,,0,,0,17
128,2023123000,2023-12-30,2,10,43,DAL,DET,1,5,95,0,0,"(10:43) 4-D.PRESCOTT PASS SHORT RIGHT TO 88-C.LAMB TO DET 1 FOR 4 YARDS (29-K.VILDOR). FUMBLES (29-K.VILDOR), BALL OUT OF BOUNDS IN END ZONE, TOUCHBACK.",0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,5,OPP,0,,0,,0,17
305,2023110510,2023-11-05,4,0,5,DAL,PHI,3,26,73,0,0,"(:05) 4-D.PRESCOTT PASS DEEP RIGHT TO 88-C.LAMB TO PHI 4 FOR 23 YARDS (2-D.SLAY, 21-S.BROWN). FUMBLES (21-S.BROWN), RECOVERED BY PHI-32-R.BLANKENSHIP AT PHI 7.",0,2023,23,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,,27,OPP,0,,0,,0,9
508,2023092410,2023-09-24,3,3,51,DAL,ARI,3,3,96,0,0,"(3:51) (SHOTGUN) 4-D.PRESCOTT TO ARI 9 FOR -5 YARDS. FUMBLES, AND RECOVERS AT ARI 9. 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 13-M.GALLUP (20-MA.WILSON). PENALTY ON DAL-71-C.EDOGA, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT ARI 4 - NO PLAY.",0,2023,-5,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,1,1,0,0,,4,OPP,1,DAL,1,OFFENSIVE HOLDING,10,3
675,2023091013,2023-09-10,3,11,26,DAL,NYG,3,6,81,1,0,"(11:26) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 20-T.POLLARD TO NYG 12 FOR 7 YARDS (58-B.OKEREKE). FUMBLES (58-B.OKEREKE), RECOVERED BY DAL-63-T.BIADASZ AT NYG 4.",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,19,OPP,0,,0,,0,1
748,2023091710,2023-09-17,1,0,54,DAL,NYJ,1,12,3,1,0,"(:54) 4-D.PRESCOTT PASS SHORT MIDDLE TO 88-C.LAMB TO DAL 34 FOR 31 YARDS (1-A.GARDNER; 44-J.SHERWOOD). FUMBLES (1-A.GARDNER), RECOVERED BY DAL-63-T.BIADASZ AT DAL 36.",0,2023,31,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,,3,OWN,0,,0,,0,2
798,2023100111,2023-10-01,3,11,37,DAL,NE,2,10,48,0,0,"(11:37) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 3-B.COOKS TO NE 45 FOR 7 YARDS (27-M.BRYANT). FUMBLES (27-M.BRYANT), BALL OUT OF BOUNDS AT NE 45.",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,,48,OWN,0,,0,,0,4
821,2023100111,2023-10-01,4,10,59,DAL,NE,1,15,32,1,0,"(10:59) 9-K.TURPIN RIGHT END TO NE 22 FOR 46 YARDS (27-M.BRYANT). FUMBLES (27-M.BRYANT), RECOVERED BY DAL-84-S.MCKEON AT NE 14.",0,2023,46,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,RIGHT END,32,OWN,0,,0,,0,4
843,2023100811,2023-10-08,1,0,47,DAL,SF,1,10,5,0,0,"(:47) 20-T.POLLARD LEFT END TO DAL 9 FOR 4 YARDS (54-F.WARNER). FUMBLES (54-F.WARNER), TOUCHED AT DAL 9, RECOVERED BY SF-90-K.GIVENS AT DAL 16. 90-K.GIVENS RAN OB AT DAL 16 FOR NO GAIN. THE REPLAY OFFICIAL REVIEWED THE LOOSE BALL RECOVERY RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,LEFT END,5,OWN,0,,0,,0,5
1134,2023122410,2023-12-24,1,7,22,DAL,MIA,1,1,99,0,0,"(7:22) 66-T.BASS REPORTED IN AS ELIGIBLE.  4-D.PRESCOTT FUMBLES (ABORTED) AT MIA 2, RECOVERED BY MIA-29-B.JONES AT MIA 2.",0,2023,0,UNDER CENTER,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,1,OPP,0,,0,,0,16
1269,2023121011,2023-12-10,3,10,52,DAL,PHI,3,10,45,0,0,"(10:52) (SHOTGUN) 4-D.PRESCOTT SACKED AT DAL 39 FOR -6 YARDS (91-F.COX). FUMBLES (91-F.COX) [91-F.COX], RECOVERED BY PHI-98-J.CARTER AT DAL 42. 98-J.CARTER FOR 42 YARDS, TOUCHDOWN.",0,2023,-6,SHOTGUN,SACK,0,0,0,1,,1,0,0,,0,1,0,0,0,,45,OWN,0,,0,,0,14
