GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2023111904,2023-11-19,3,4,52,ARI,HOU,3,6,76,0,0,"(4:52) (SHOTGUN) 1-K.MURRAY SCRAMBLES RIGHT END RAN OB AT HOU 18 FOR 6 YARDS (48-C.HARRIS). PENALTY ON HOU-51-W.ANDERSON, FACE MASK, 9 YARDS, ENFORCED AT HOU 18.",0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,24,OPP,1,HOU,0,FACE MASK,9
2023111906,2023-11-19,2,11,30,MIA,LV,2,5,76,0,0,"(11:30) (SHOTGUN) 26-S.AHMED LEFT GUARD TO LV 23 FOR 1 YARD (9-T.WILSON, 5-D.DEABLO). PENALTY ON LV-9-T.WILSON, FACE MASK, 11 YARDS, ENFORCED AT LV 23.",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT GUARD,24,OPP,1,LV,0,FACE MASK,11
2023111910,2023-11-19,3,1,49,LA,SEA,1,10,85,0,0,"(1:49) 24-R.FREEMAN RIGHT END TO LAR 31 FOR 16 YARDS (6-Q.DIGGS). PENALTY ON LAR-17-P.NACUA, OFFENSIVE HOLDING, 8 YARDS, ENFORCED AT LAR 17.",0,2023,16,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,15,OPP,1,LAR,0,OFFENSIVE HOLDING,8
2023123102,2023-12-31,4,11,35,NE,BUF,2,10,70,0,0,"(11:35) 4-B.ZAPPE PASS SHORT LEFT TO 81-D.DOUGLAS RAN OB AT BUF 13 FOR 17 YARDS (21-J.POYER). PENALTY ON BUF-21-J.POYER, UNNECESSARY ROUGHNESS, 7 YARDS, ENFORCED AT BUF 13.",0,2023,17,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,30,OPP,1,BUF,0,UNNECESSARY ROUGHNESS,7
2023123112,2023-12-31,4,3,58,DEN,LAC,3,7,53,0,0,"(3:58) (SHOTGUN) 4-J.STIDHAM PASS SHORT LEFT TO 10-J.JEUDY TO LAC 35 FOR 12 YARDS (32-A.GILMAN). LAC-58-J.HOLLINS WAS INJURED DURING THE PLAY.  PENALTY ON DEN-72-G.BOLLES, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT LAC 41.",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,47,OPP,1,DEN,0,OFFENSIVE HOLDING,10
2023123114,2023-12-31,2,5,5,GB,MIN,1,10,84,0,0,"(5:05) 33-A.JONES RIGHT END TO MIN 6 FOR 10 YARDS (58-J.HICKS). PENALTY ON MIN-90-J.BULLARD, ILLEGAL USE OF HANDS, 3 YARDS, ENFORCED AT MIN 6.",0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,16,OPP,1,MIN,0,ILLEGAL USE OF HANDS,3
2023121708,2023-12-17,2,3,33,BAL,JAX,2,3,59,0,0,"(3:33) (SHOTGUN) 43-J.HILL UP THE MIDDLE TO JAX 29 FOR 12 YARDS (42-A.WINGARD). PENALTY ON BAL-79-R.STANLEY, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT JAX 40.",0,2023,12,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,41,OPP,1,BAL,0,OFFENSIVE HOLDING,10
2023121708,2023-12-17,2,1,31,BAL,JAX,1,2,98,0,0,"(1:31) 66-B.CLEVELAND REPORTED IN AS ELIGIBLE.  35-G.EDWARDS UP THE MIDDLE TO JAX 1 FOR 1 YARD (44-T.WALKER; 52-D.HAMILTON). PENALTY ON BAL-76-J.SIMPSON, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT JAX 1.",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,2,OPP,1,BAL,0,UNNECESSARY ROUGHNESS,15
2024010703,2024-01-07,2,14,13,MIN,DET,4,6,100,0,0,"(14:13) (SHOTGUN) 12-N.MULLENS SCRAMBLES LEFT END TO DET 44 FOR 6 YARDS (34-A.ANZALONE). PENALTY ON DET-29-K.VILDOR, ILLEGAL CONTACT, 5 YARDS, ENFORCED AT DET 44.",0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,0,OPP,1,DET,0,ILLEGAL CONTACT,5
2024010705,2024-01-07,3,15,0,CAR,TB,0,0,65,0,0,"5-J.CAMARDA KICKS 61 YARDS FROM TB 35 TO CAR 4. 3-R.BLACKSHEAR TO CAR 25 FOR 21 YARDS (49-C.GILL). PENALTY ON CAR-42-S.FRANKLIN, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CAR 25.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,CAR,0,OFFENSIVE HOLDING,10
